id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1l32mo5oW5oIRRjNnVJBNR,0.684,0.564,0,-8.45,0,0.0432,0.363,0.332,0.118,0.52,96.357,220587
01bfHCsUTwydXCHP1VoLlI,0.784,0.682,1,-8.614,1,0.0962,0.185,6.25e-06,0.106,0.967,112.512,191027
2hPNuVVSV1tqiD2uPlfehz,0.529,0.598,8,-7.951,1,0.187,0.0968,0.171,0.189,0.691,92.01,321853
5pI2sPNVGcvR3n4vHzhuNF,0.386,0.2,0,-20.666,0,0.0468,0.388,0.0747,0.41,0.0799,87.854,71111
1pclizTN2rAs7MsCbWQ49e,0.734,0.452,2,-11.9,1,0.0805,0.606,0.0134,0.0939,0.207,134.899,172000
3iTYNXjrgPE3edTwOnx6KM,0.911,0.462,4,-8.298,0,0.0787,0.0281,0.00157,0.106,0.568,114.982,162783
3qPLOJ6ij8dcO94ntWUzan,0.822,0.494,11,-8.212,0,0.0822,0.153,0.0,0.114,0.537,122.022,212937
7fI7sjuVLkLVPO9oYjdgxg,0.517,0.59,1,-7.904,0,0.122,0.278,0.0,0.304,0.269,123.928,187742
1l13Q1jtQzKiMtn5cBoyIa,0.643,0.951,5,-5.098,1,0.0279,0.00106,9.88e-06,0.0788,0.701,140.078,199760
2Acvn67jFlfvb0bi9ETUMm,0.748,0.555,11,-6.823,1,0.369,0.378,0.0,0.158,0.194,99.593,169000
4LWs9AcaqoFQsWKeEa1Z80,0.785,0.647,0,-7.455,1,0.0557,0.362,0.0,0.0963,0.595,100.042,154800
3qbEYueRzTeCAwxp7aFiWR,0.541,0.509,8,-10.661,1,0.0779,0.429,1.09e-06,0.11,0.58,78.809,173806
6fNRBOVt73FkWW9zMYtvh4,0.078,0.21,4,-19.814,1,0.0437,0.956,0.399,0.306,0.432,80.362,20053
10qORBVaKgjIwvPknOdWQ5,0.538,0.625,11,-6.07,0,0.0457,0.24,0.000153,0.119,0.206,96.8,278493
4EC7nw1iltEdsfZ44vLvhM,0.807,0.514,7,-8.594,1,0.0749,0.211,0.0,0.0934,0.37,116.0,262013
1m7vcCLcWDuo9JBb5gMN3u,0.541,0.628,0,-11.177,1,0.0412,0.035,0.591,0.0886,0.0396,115.974,158849
23leKPcNMfdUbQ8tL4uVJk,0.779,0.41,2,-7.312,1,0.0323,0.0136,0.345,0.173,0.307,116.987,264901
0Jgt2gqs0SRldv9VOoQupf,0.624,0.803,0,-6.659,1,0.0338,0.00129,0.778,0.126,0.539,117.02,258476
4qSeVRw2SPqZnHWsLXfHJE,0.657,0.6,2,-9.64,1,0.049,0.137,0.944,0.109,0.0315,117.976,215895
5i3Rv4Y9kWVBX00zaZbuSE,0.756,0.527,8,-11.861,1,0.0428,0.00201,0.509,0.112,0.248,119.996,416500
7lavgUt5Y3HxSKxt93vinb,0.737,0.585,10,-10.198,0,0.0435,0.00994,0.00532,0.0787,0.877,122.009,209001
1YWE7cMqo4iVNdPTpH4Khj,0.711,0.686,5,-6.409,0,0.271,0.0355,0.0,0.124,0.536,146.971,173187
7IDJ19VgYwZSzDH5Ku5FT9,0.911,0.573,2,-5.573,1,0.163,0.0112,5.83e-05,0.131,0.145,144.026,271840
4Ew8VKrbgrjCt9r2AuItFm,0.652,0.578,0,-6.187,1,0.161,0.00861,0.0,0.285,0.195,87.395,207213
0yMgLZquCYQjDBwjKnRQJ9,0.637,0.608,8,-9.875,0,0.344,0.224,2.1e-06,0.11,0.583,168.026,160032
790fgRFM6Bh5CpDQpRYvGX,0.65,0.475,2,-11.977,1,0.382,0.316,8.74e-06,0.113,0.724,78.821,182000
6gBVld0TEIIRQdpRWhtCJF,0.65,0.669,1,-8.216,1,0.392,0.219,2.34e-05,0.1,0.736,79.115,182280
1H4BiYE8G4XuaKpVxvtJ4n,0.417,0.809,0,-4.061,1,0.0466,0.000212,0.0,0.0966,0.654,179.998,155562
6MzsfRoYing0YOe9LhBVen,0.31,0.834,0,-4.245,1,0.0572,0.0011,0.0,0.0729,0.459,132.974,194959
2HVTOpuW5zmutgWItqrWSI,0.577,0.946,2,-2.48,1,0.0437,0.0152,0.0,0.183,0.482,106.038,192659
0NT549rDgSRLdehnotM9Wz,0.266,0.348,10,-21.803,0,0.0538,0.21,0.043,0.143,0.217,140.324,38651
6gbhXCgHidtjsBN1S5qycH,0.585,0.439,1,-6.822,1,0.0301,0.816,0.0,0.0635,0.514,132.729,124186
5FyrDkl5DAwI3HuxL6WcQJ,0.656,0.656,1,-6.276,1,0.0552,0.657,0.0,0.094,0.734,81.008,191933
09Ax76xrXhUm13zCwkuxiv,0.788,0.536,11,-4.765,1,0.206,0.831,0.0,0.181,0.342,113.013,135704
3KEtYxU8b1gZMbsY9Jlpqd,0.687,0.839,0,-3.434,1,0.111,0.0424,0.0,0.656,0.537,162.994,355796
3G0KI415vuf6TJ2YWA73S3,0.765,0.75,5,-4.626,1,0.0528,0.16,0.0,0.314,0.566,101.998,203529
1bnw4O0HAKTF63Y4OQ3kgb,0.43,0.542,6,-8.201,1,0.14,0.46,0.0,0.113,0.299,137.053,185143
1KIqWYCRpIJq5yqXVCeeaR,0.613,0.706,8,-4.886,0,0.107,0.476,0.0,0.121,0.533,165.959,190198
0hjcNhYo0JNoWQxSj05Fig,0.551,0.443,6,-10.467,0,0.0471,0.069,0.0,0.0756,0.298,134.082,266153
6DJrZebjqig3D4AoGOvIrz,0.423,0.934,0,-6.012,0,0.25,0.0015,8.84e-06,0.186,0.274,167.037,232130
5buK9fmCLWolU2FGOuFfJv,0.447,0.953,3,-4.996,1,0.0668,3.64e-05,0.0,0.194,0.397,120.003,164815
1I2MDTP1pUiwlhFeEV7kx4,0.308,0.905,8,-4.115,1,0.0913,0.000449,0.0,0.227,0.344,195.724,194978
5CQXesQM39J0CBnY0Npp6S,0.763,0.411,5,-8.339,0,0.211,0.0594,5.35e-05,0.0912,0.461,75.029,133978
601dhwn8qc31FrSlMu5wEf,0.835,0.753,2,-4.167,0,0.0521,0.204,0.000186,0.384,0.583,105.982,143790
7mLPSkAJraASgNk6ywyTkp,0.634,0.725,0,-4.88,0,0.0577,0.0754,0.0,0.208,0.845,159.898,154375
7xENAAODeE2hKzdWFI6YaB,0.269,0.387,6,-13.482,0,0.0382,0.44,0.895,0.126,0.0494,84.823,90480
42pKWuJst0oAuUbTvkNqr6,0.752,0.546,5,-6.052,0,0.0564,0.163,0.134,0.1,0.863,152.08,236320
5OIz27S6SQOJtweneBd6QP,0.822,0.874,6,-4.006,1,0.113,0.0895,3.71e-06,0.0737,0.369,155.032,172053
5WPMA58wFC6t0RkeTdOQHm,0.653,0.835,1,-4.382,1,0.159,0.157,0.0,0.251,0.728,101.167,285228
1eQXOW0ouxAFMYhppeQEQ0,0.592,0.493,7,-6.296,1,0.0378,0.0454,9.9e-06,0.0888,0.244,82.008,220387
4Uv65Xq0mnBeR3JNc0e7I0,0.475,0.529,8,-4.772,1,0.316,0.627,0.000564,0.347,0.468,86.197,328293
4JQyZ9udcxgmyGuBD7ipVN,0.215,0.255,9,-20.25,0,0.0322,0.872,0.967,0.109,0.0396,79.928,661840
4U6EyUkA9NetwuxNiACu8O,0.77,0.491,7,-9.593,1,0.0493,0.000653,0.846,0.0571,0.231,123.999,546098
5UAS2CPZ1KFBhHigDBPS2X,0.716,0.514,2,-12.967,1,0.0374,0.000162,0.867,0.0996,0.11,124.996,477785
247gen9COadkVYdH21C7xw,0.861,0.35,11,-7.09,0,0.39,0.19,0.0843,0.0627,0.461,123.023,297500
37gQPtDbc2MtsLhqqFEqSO,0.905,0.694,4,-5.799,1,0.167,0.005,0.105,0.0561,0.633,124.965,239124
1lEcPbdaG61e4K9uqAqBJP,0.888,0.792,10,-2.665,0,0.0421,0.003,0.00824,0.0696,0.628,124.001,268044
2XtaNnPCaM1jAbPaZnADEP,0.554,0.236,4,-12.135,0,0.0568,0.417,0.000317,0.0669,0.0396,137.969,226717
5fJR8ccEdphPmt6MpedsGQ,0.615,0.571,1,-3.843,1,0.378,0.133,0.0,0.0755,0.188,128.423,242911
76K8QzBtjSSSvcjvn6vvXQ,0.541,0.82,2,-4.433,1,0.383,0.31,0.0,0.227,0.361,94.748,221584
1Thgdu4MW08GCwFP6IK2xg,0.937,0.456,7,-9.129,0,0.234,0.16,0.0,0.0879,0.553,99.993,163200
0xziSPDtQajuUHrMDSI4gO,0.668,0.79,0,-7.18,1,0.0452,0.0139,0.0,0.0549,0.4,126.201,166737
0fFzdYZmUCl94y7bsVy5Qd,0.612,0.684,1,-7.443,1,0.0886,0.0523,0.0013,0.106,0.13,100.026,211200
5pzPN4hqqkiXsolJr3BLPZ,0.574,0.433,8,-10.394,0,0.327,0.919,0.0,0.265,0.834,125.97,35903
7ajqe1XfSSVuys632BHgR5,0.949,0.802,1,-5.255,1,0.363,0.00857,0.0,0.225,0.917,135.14,186201
5dPMBZQp9eArP9AakFJJv3,0.969,0.727,9,-6.991,1,0.0819,0.0062,0.0,0.148,0.26,127.993,146632
0IjfAApF4HJou8rW3cvuII,0.721,0.998,1,-3.133,1,0.0813,0.00363,0.402,0.266,0.907,160.025,234844
1LfczmVqfIKzd8nvXuciNx,0.592,0.837,8,-4.341,1,0.17,0.00633,0.0,0.12,0.287,121.897,234187
23YnNdMxMHJFkvkjLZvKU4,0.423,0.585,8,-5.409,1,0.0587,0.00371,0.0,0.104,0.239,183.819,204933
7cN8mxsBS6necOYT0MevRx,0.81,0.533,9,-5.444,1,0.0428,0.416,1.28e-05,0.208,0.583,98.025,203573
2bbaHo4W5t746SONqsrjlU,0.665,0.433,6,-7.668,1,0.0634,0.528,0.0,0.144,0.219,80.092,171187
1g74Cjek5nDVpWkAdcqxkU,0.779,0.628,8,-5.771,1,0.127,0.0829,7.18e-05,0.128,0.21,99.938,162645
2YKmZP9f5lL4AQ7R0V1ez6,0.791,0.636,8,-5.456,1,0.288,0.237,1.65e-05,0.103,0.466,132.991,183430
5q28kM3GEG3pQjq2eMvtys,0.804,0.599,9,-9.698,0,0.047,0.00135,0.649,0.101,0.331,120.025,526516
7LkWuyf6KGge7fsEofMrjk,0.663,0.82,4,-11.067,0,0.0421,0.0092,0.903,0.0784,0.119,123.002,491708
4A3QKsWQWfbBoFqfclZ2vL,0.583,0.41,8,-17.205,1,0.0316,0.458,0.868,0.107,0.268,123.017,390001
0vZcvKWsurCvO0l0caXb30,0.549,0.631,11,-9.012,1,0.327,0.208,0.0,0.109,0.589,94.872,194933
1Xlls73jkAl3otWcCbIVyw,0.77,0.535,6,-9.273,0,0.43,0.349,0.0,0.288,0.749,157.079,147767
1ZSjmPEiMr1kLT0ipTPzZt,0.723,0.648,2,-6.844,1,0.361,0.236,0.000277,0.245,0.655,140.917,232433
6RMpihqnNQ9JcO37ErNi9f,0.607,0.719,7,-7.774,1,0.0334,0.000747,0.934,0.294,0.871,135.96,285896
3MjY6J6M54uARlFnc8rixo,0.603,0.868,0,-6.764,1,0.034,0.00051,0.00851,0.104,0.333,156.005,193846
1WLqDKmGYCA4FYlsCksbjE,0.662,0.682,10,-5.97,0,0.4,0.712,0.0,0.0817,0.529,145.059,125793
2qkGjI7czKW5oba8dGjecz,0.655,0.777,8,-5.17,1,0.0848,0.0852,0.0,0.287,0.703,139.957,118328
0CHKBGa53s2qV9mozCy8ny,0.723,0.658,7,-6.851,1,0.273,0.741,1.5e-05,0.11,0.395,95.86,162825
1RNta2Wrj5QL684vNJ35Ku,0.44,0.675,8,-5.879,1,0.186,0.593,7.43e-05,0.471,0.355,75.516,275283
3P0mZWUWThSofCgvC9ZJYH,0.548,0.689,7,-7.287,1,0.131,0.267,0.0,0.19,0.259,75.11,196756
1kpZPLcrLULlN05Ps7q8gM,0.474,0.688,1,-6.047,1,0.184,0.401,0.0,0.657,0.741,152.087,203400
3OtPPu8df9ggUt8hvSV0PV,0.434,0.525,7,-11.359,1,0.13,0.152,0.0,0.303,0.744,81.245,132000
6ZBBtds5w5YXSpB5F4Jemv,0.718,0.431,0,-10.517,0,0.289,0.0909,0.0,0.11,0.747,89.96,181333
7uVFXH1bXQJkyYZNaO41ps,0.653,0.606,11,-9.284,0,0.328,0.487,0.0,0.105,0.523,82.073,190244
1DsqsyTbsmGvCWjmvczxri,0.496,0.4,9,-12.725,0,0.0584,0.94,0.000201,0.127,0.584,72.076,150236
75vFJfZYeZLhEoAiQtZkfb,0.356,0.403,3,-8.851,0,0.0343,0.784,7.2e-06,0.107,0.193,98.885,228830
63WNl0pDUQ0cWEyIhJcUrg,0.536,0.499,5,-9.975,0,0.0764,0.721,0.0,0.124,0.341,94.096,228286
5XUBGO6zQBYBpIRzqvX9Zv,0.842,0.666,4,-6.569,0,0.16,0.0122,0.000203,0.113,0.459,106.004,151104
2shSGbDRvWNyR88jE44KM0,0.707,0.389,6,-16.981,0,0.0382,0.444,0.486,0.11,0.251,129.017,109000
1N94vFYPRIDOpMT3M1bg5k,0.583,0.367,1,-13.72,0,0.0711,0.77,0.823,0.133,0.0572,161.943,132593
2TQ08eAvkgWu4PQ80eRf7m,0.624,0.441,6,-13.349,0,0.0328,0.761,0.246,0.126,0.172,147.943,96486
5JUmEkTZZITl6BjvxiBeEl,0.632,0.658,10,-7.875,0,0.0301,0.0632,0.00828,0.0808,0.612,77.963,250760
5Mdkb3DOSbO2iBw78W4IDi,0.344,0.622,0,-7.165,1,0.0341,0.00879,0.0,0.131,0.214,111.407,289360
3J0E599eBLtDYNTUFYgDGN,0.435,0.303,7,-11.085,1,0.0382,0.596,0.0,0.144,0.238,118.615,270253
6FpRSL9YC489a1EfCOrKhR,0.685,0.481,6,-9.766,0,0.0951,0.441,0.0,0.129,0.465,125.974,201130
6te6WAI3XrDG8GcB0zm8r8,0.658,0.735,10,-6.193,1,0.36,0.522,0.0,0.169,0.49,130.788,157069
3MvBJsVTKoA3ANpQsuz6nd,0.722,0.714,10,-6.294,1,0.342,0.49,0.0,0.185,0.432,66.66,157069
0SdS7QySc8hx8kAi1Tku3c,0.727,0.832,10,-6.233,1,0.0721,0.0858,0.46,0.249,0.807,155.098,161845
7GJVqqE79WOl8ncT7Y4z0L,0.76,0.71,9,-4.984,0,0.0428,0.205,0.0,0.349,0.707,111.957,184196
6ob621boKEDPUrWroJuoJS,0.799,0.72,10,-5.27,0,0.136,0.175,0.0,0.112,0.46,94.998,186508
3uCkrD3jviXdkdScSlSabk,0.533,0.704,1,-5.307,1,0.0649,0.124,0.0,0.0572,0.6,149.745,172892
41Pezz8jOFGYtax20GRwAJ,0.732,0.996,3,-7.779,0,0.0723,0.244,0.902,0.141,0.765,160.011,268625
0Ncs4enKXg2DJP82UoMsL3,0.685,0.81,6,-6.297,0,0.325,0.0682,0.000489,0.0883,0.442,159.804,176000
1h0rVgfuKa6V9DkVSLAc4Q,0.742,0.543,8,-8.77,0,0.211,0.125,0.0,0.237,0.407,129.091,186173
3OGCNLxpBmTYRxPZg2yDE5,0.767,0.662,5,-4.856,0,0.0578,0.103,0.0,0.123,0.259,143.943,193333
7MLGkncjEGTfKHpNa5UgCQ,0.395,0.667,5,-5.237,0,0.215,0.262,0.0,0.0858,0.368,79.905,179480
2fKUMYknbSWF7WOKwMQUZE,0.82,0.808,1,-5.883,1,0.0561,0.0194,0.704,0.103,0.511,140.015,359817
1ZF05CfjZO3ovYTXhUxOxm,0.776,0.338,0,-8.31,0,0.115,0.0495,0.933,0.0718,0.0506,140.005,308571
4ezxgFcW3CXj6hbCgFcnPk,0.771,0.698,1,-6.668,1,0.119,0.00309,0.358,0.0954,0.0478,139.995,314286
0mqEfb7OJ9RjclTFotbP0h,0.571,0.759,6,-8.727,0,0.0293,0.00287,0.935,0.0878,0.331,105.013,221429
6oGHUWyTPP6cNwp7aItGYn,0.658,0.776,1,-7.305,1,0.0391,0.0003,0.194,0.694,0.359,119.998,324000
0z7dWa0TyhiZ9ydSVufTDX,0.553,0.639,10,-12.281,0,0.0323,0.000716,0.773,0.327,0.156,122.009,598033
65M7muGNDnuYo7BMSG00Ox,0.258,0.904,7,-3.586,1,0.0482,0.0269,0.00394,0.229,0.477,176.192,252800
0EDmOilel4U3uBmfvAUkua,0.49,0.609,0,-5.661,0,0.051,0.332,0.0,0.117,0.485,169.084,226387
4LzWe91KPQtHsORdmf04c5,0.418,0.787,9,-5.446,1,0.0501,0.0451,0.0,0.279,0.622,178.156,250267
2E9wJOJzJr7ZEt0M2NN2qf,0.686,0.915,5,-7.481,1,0.0339,0.00424,0.745,0.0731,0.364,147.022,291084
38DaSNFliMi6pDKVox4rZl,0.311,0.206,1,-11.05,1,0.0391,0.771,1.88e-05,0.101,0.302,81.765,227857
58fKkGBBafcv7tfe6ZMHnK,0.593,0.195,7,-12.271,1,0.248,0.939,0.0,0.218,0.451,120.619,118167
03k0LHMu9ZBqmrlVeJPhQm,0.492,0.248,11,-10.958,0,0.0837,0.857,0.0,0.341,0.467,96.146,168142
6hwQuTsRfWwuVvxoSWvQzC,0.521,0.643,8,-8.387,1,0.312,0.112,0.0,0.121,0.501,108.298,221429
3E6TU4XDL3X5e2HmHrmonz,0.768,0.735,1,-5.657,0,0.117,0.084,1.01e-06,0.103,0.679,76.011,126316
7G02ezhyFpe9m9e8zb57x6,0.74,0.84,1,-5.245,1,0.0555,0.0199,0.0,0.095,0.641,83.529,189701
6LAfjPkfCAy4ZVqvvfutMF,0.398,0.987,5,-8.536,1,0.0478,8.06e-05,0.964,0.0848,0.0381,152.019,249416
3oM2PoOCuD4gHjf6O1GCoB,0.681,0.612,7,-12.165,1,0.0416,0.0013,0.3,0.205,0.0675,169.991,176809
4Lk9kmajQPOZEVcBaBSjNL,0.493,0.855,7,-4.964,1,0.0409,0.000259,0.747,0.0806,0.0774,156.078,172448
2fXjjTSWCBNhxoSQ451c8Q,0.789,0.691,8,-5.353,1,0.0648,0.105,0.000434,0.144,0.322,90.034,152000
