Track ID,Track Name,Artists,Album Name,Release Date,Explicit,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Duration_ms
7qPiAhk71D2RqLRtnjDL76,No morë talk,Yeat,AftërLyfe,2023-02-24,True,70,0.00298,0.76,0.53,4.91e-06,0.113,-8.178,0.21,76.48,0.486,238507
2fpTRcMLt4aKlqULOwuXUP,Shmunk (feat. YoungBoy Never Broke Again),"Yeat, YoungBoy Never Broke Again",AftërLyfe,2023-02-24,True,63,0.0204,0.744,0.647,0.000116,0.156,-7.301,0.111,141.929,0.096,229800
0r9ZhD7QEbIAcvfhDkIsdV,Bëttr 0ff,Yeat,AftërLyfe,2023-02-24,True,67,0.00232,0.731,0.532,0.0,0.18,-9.815,0.0742,124.948,0.37,230453
23yq0YZNaRDQ7AbdSbsPkN,The Fire In My Heart,"CHAD, VINAE",The Fire In My Heart,2023-11-04,False,21,0.475,0.674,0.829,0.472,0.135,-8.772,0.0639,121.004,0.407,145505
3rtegb4u0g0ieh0TeTpP0U,Maktub,Rafa Espino,Maktub,2023-11-01,False,24,0.789,0.534,0.71,0.0,0.0719,-10.297,0.288,98.516,0.362,197405
5nxbKkn3DnG0cW5YCyRsXd,El Amor Siempre Vuelve,"Rafa Espino, Nous Nizzy",Maktub,2023-11-01,False,23,0.867,0.541,0.691,0.0,0.163,-8.405,0.246,88.367,0.585,220272
6XIHuFNd2nHEj7J5EOdgys,Cenizas,"Rafa Espino, AMBKOR, Dante",Maktub,2023-11-01,False,30,0.581,0.425,0.64,0.0,0.261,-8.855,0.254,81.613,0.427,202532
05q2ObinCGFBC1hafHZaxq,Two Infinity Links,"Quavo, Takeoff",Only Built For Infinity Links,2022-10-07,True,51,0.0789,0.796,0.757,0.0,0.648,-6.381,0.235,147.933,0.591,129730
2qi1wp1XsNO64udWaFaIIc,Tony Starks,"Quavo, Takeoff",Only Built For Infinity Links,2022-10-07,True,48,0.00423,0.922,0.418,1.72e-05,0.0946,-10.278,0.459,136.046,0.229,148235
4vVjPTApwXZwB2H3mBq3ml,HOTEL LOBBY (Unc & Phew),"Quavo, Takeoff",Only Built For Infinity Links,2022-10-07,True,80,0.117,0.825,0.649,0.0,0.232,-4.297,0.169,127.978,0.143,142657
6VhsUNFobFSPNgAMYoEjTP,Soldadito,Xenon,Tontas Cosas Que Decirte (Original Soundtrack),2022-11-24,False,8,0.00814,0.5,0.797,0.0,0.1,-4.495,0.0441,145.064,0.5,175345
