Track Name,Track ID,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Perreándote,5RgBJX31NEVDcGUSMGBWWO,0.653,0.868,-4.059,0.0938,0.0823,1.91e-05,0.272,0.653,180.224,206667
Bora Bora,7AdDZQQNj19gZ2vVJnL1tj,0.734,0.696,-4.018,0.103,0.113,0.0,0.0886,0.246,92.005,151304
No morë talk,7qPiAhk71D2RqLRtnjDL76,0.76,0.53,-8.178,0.21,0.00298,4.91e-06,0.113,0.486,76.48,238507
Shmunk (feat. YoungBoy Never Broke Again),2fpTRcMLt4aKlqULOwuXUP,0.744,0.647,-7.301,0.111,0.0204,0.000116,0.156,0.096,141.929,229800
Bëttr 0ff,0r9ZhD7QEbIAcvfhDkIsdV,0.731,0.532,-9.815,0.0742,0.00232,0.0,0.18,0.37,124.948,230453
The Fire In My Heart,23yq0YZNaRDQ7AbdSbsPkN,0.674,0.829,-8.772,0.0639,0.475,0.472,0.135,0.407,121.004,145505
Maktub,3rtegb4u0g0ieh0TeTpP0U,0.534,0.71,-10.297,0.288,0.789,0.0,0.0719,0.362,98.516,197405
El Amor Siempre Vuelve,5nxbKkn3DnG0cW5YCyRsXd,0.541,0.691,-8.405,0.246,0.867,0.0,0.163,0.585,88.367,220272
Cenizas,6XIHuFNd2nHEj7J5EOdgys,0.425,0.64,-8.855,0.254,0.581,0.0,0.261,0.427,81.613,202532
Two Infinity Links,05q2ObinCGFBC1hafHZaxq,0.796,0.757,-6.381,0.235,0.0789,0.0,0.648,0.591,147.933,129730
Tony Starks,2qi1wp1XsNO64udWaFaIIc,0.922,0.418,-10.278,0.459,0.00423,1.72e-05,0.0946,0.229,136.046,148235
HOTEL LOBBY (Unc & Phew),4vVjPTApwXZwB2H3mBq3ml,0.825,0.649,-4.297,0.169,0.117,0.0,0.232,0.143,127.978,142657
Soldadito,6VhsUNFobFSPNgAMYoEjTP,0.5,0.797,-4.495,0.0441,0.00814,0.0,0.1,0.5,145.064,175345
All Star,0xmU3WHi3XZQ33T0jSneNQ,0.685,0.832,-6.516,0.125,0.0375,0.0,0.263,0.799,145.973,161828
Lluvia y Viento,3zp8YVbsY9nPRV3AuTuSsi,0.588,0.692,-5.348,0.0968,0.262,1.53e-06,0.126,0.418,180.04,186697
Silk Sonic Intro,4K09vJ27xCOreumtSuU6Ao,0.696,0.553,-8.702,0.0759,0.097,3.91e-06,0.617,0.674,114.993,63060
Leave The Door Open,4pryE6cN2gFL1FVF5fYINl,0.586,0.616,-7.964,0.0324,0.182,0.0,0.0927,0.719,148.088,242096
Fly As Me,7suB6D6uKX5DfPukdGaz0W,0.783,0.627,-8.521,0.102,0.00756,0.0,0.0606,0.48,100.025,219389
A Cualquiera Le Puede Pasar,4mMHQiLV0V2rYrquSBssRm,0.691,0.78,-5.321,0.0348,0.0158,0.0,0.0672,0.785,87.973,169000
Flowers,7DSAEUvxU8FajXtRloy8M0,0.706,0.691,-4.775,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600
Jaded,0LbZLBBZI1NfaDgb4dx0UD,0.496,0.593,-5.154,0.0285,0.0476,0.0,0.0909,0.177,91.038,185933
Rose Colored Lenses,1nSfvLVhsozMHS7rCF1BTi,0.539,0.503,-5.338,0.0385,0.0574,2.34e-05,0.0847,0.836,174.068,223787
Intro,20uXZyneJq8QjX8dPVI4ut,0.858,0.751,-5.254,0.218,0.0257,0.0439,0.0907,0.169,92.045,102680
Estrella,17hUeO3yozyGyXFzpEIX6D,0.777,0.766,-3.546,0.064,0.0293,0.0,0.136,0.75,89.993,214626
Entendemos,2Pz9DnS04JtX70gERPeorz,0.768,0.734,-3.589,0.0876,0.16,0.0,0.104,0.806,158.026,213926
Start The Party (Vive Nuestra Fiesta),7rSunISCOmFkcZ4pw77dDP,0.782,0.935,-5.052,0.0943,0.00811,0.0,0.0668,0.626,115.989,182360
Dale Un Respiro Al Amor,4sAoD04nRazvYgOzGrAORf,0.852,0.826,-5.216,0.0594,0.0781,0.0,0.913,0.925,119.937,174373
We Rock,7IAHiyDo4UaTQyR6JCxJP3,0.636,0.947,-3.422,0.104,0.00644,0.0,0.0938,0.828,143.901,192147
Welcome to Walkerworld,7oI6UCSrFERRlBBSKII7mo,0.529,0.811,-6.734,0.0355,0.0455,0.216,0.106,0.123,127.991,166650
Heart over Mind,5jiDsY3XhlJ7TsByrQ4npm,0.632,0.739,-3.442,0.0276,0.000456,5.99e-06,0.181,0.367,117.013,189392
Hero,7rFuXulG4qi129VYAREBf2,0.596,0.733,-7.082,0.03,0.0289,1.13e-05,0.214,0.0961,126.007,175271
The Dream Machine,1Spq8zrtMorUiWK0Yf3FWL,0.453,0.754,-8.465,0.0349,0.000486,0.879,0.132,0.0658,134.008,333134
Camino,5uI6QBvbOSqZYHMQ3Y54v0,0.765,0.929,-7.565,0.0482,0.288,0.897,0.14,0.342,131.018,335267
Smoking Clouds,0jahIZFDmbASM6n2Fhlr0q,0.806,0.688,-9.185,0.0699,0.0997,0.719,0.091,0.2,130.035,280774
Sacuda,4RawnebW4KRrhLNiDQOmGb,0.858,0.811,-3.866,0.11,0.105,0.00106,0.254,0.742,96.002,193440
Cerramos los Ojos (feat. Los Legendarios),1nfE2EYcayqAN8llXWu1ma,0.72,0.694,-4.258,0.129,0.0722,0.002,0.0893,0.501,179.953,207440
Me Siento Bien,1NHnuko5D0e6SBGP5Mw2xC,0.801,0.739,-3.846,0.131,0.0176,9.29e-05,0.113,0.521,94.996,256200
Feeling For You (feat. FARLEY),6pC6TW94GCOUwEj7ZchIk6,0.68,0.875,-5.429,0.117,0.00449,7.44e-05,0.637,0.691,125.975,226786
Main Titles (You’ve Been Called Back to Top Gun),74BfFG9qR85KXxN49esFVA,0.493,0.302,-12.478,0.0289,0.0404,0.834,0.107,0.157,107.425,150667
