,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
145,3t2XXB75de4ajK4LTkURgm,0.801,0.743,1,-5.056,0,0.258,0.0794,0.0,0.0872,0.495,96.029,130000
146,6xKUJ0HwdyEIeiuwM3sfQ1,0.695,0.877,10,-3.517,0,0.0532,0.19,0.0,0.114,0.816,115.7,192783
147,4lbN59oAXTZuKkq16ACHbE,0.761,0.78,7,-3.861,1,0.261,0.384,1.05e-05,0.103,0.43,140.032,135522
148,1lqtNkgCophKZ4r5wjF91s,0.411,0.396,0,-6.433,1,0.0301,0.676,0.0,0.0935,0.315,171.781,184181
149,029cuB69yYCgVHND32hjcT,0.702,0.876,10,-3.066,0,0.154,0.377,0.0105,0.121,0.593,94.014,216755
150,0mXjm33kyUTMkgJNOKvGOO,0.614,0.689,9,-4.919,1,0.052,0.0546,0.0,0.0815,0.535,146.461,165675
151,6zymS7LGXZngFvHNAXLtbP,0.783,0.863,11,-3.594,0,0.0714,0.0707,0.0,0.0744,0.465,105.044,150857
152,1d7muwif6ujmhLLxeHLPYr,0.787,0.812,5,-5.33,0,0.0845,0.0832,5.38e-06,0.0954,0.761,95.008,175579
153,19doCLyihUxqUvjtsR6xHm,0.71,0.634,7,-7.283,1,0.0668,0.495,0.0,0.195,0.229,120.037,164878
154,35jo7lz8cVF0H6BsOYAa4b,0.563,0.914,4,-4.144,0,0.297,0.0324,0.0,0.108,0.723,97.211,89090
155,3dG6YbDEyxKnIt0K8xYQSI,0.455,0.259,4,-10.027,1,0.0415,0.928,0.0,0.151,0.32,69.595,120813
156,1aLIFdfXRGwSfYNF8GIS0O,0.781,0.517,5,-9.157,0,0.209,0.482,0.0,0.154,0.729,132.959,177515
157,69Api7PDVnQ1jQmSJlZiGC,0.611,0.145,2,-11.071,1,0.0293,0.862,0.0,0.15,0.304,105.08,214231
158,2NAjBeyMUrba97IXdLVMqp,0.79,0.578,2,-4.863,0,0.106,0.135,0.0021,0.143,0.782,90.008,152280
159,2bSaJE7jrTeDXW4bZB93Ji,0.638,0.524,1,-9.386,0,0.0291,0.181,2.68e-05,0.0672,0.318,110.039,250600
160,78jeznMwLkUFnc5sef5Ptd,0.822,0.823,4,-3.726,0,0.3,0.0951,2.77e-06,0.302,0.691,179.912,152190
161,4JyfG2WBcDjlc8TODyBIbx,0.59,0.628,7,-5.915,1,0.0316,0.166,3.11e-06,0.0919,0.268,143.979,232795
162,7mGF41REeR8j0lxRNd2gsj,0.792,0.818,6,-4.861,0,0.198,0.231,0.0011,0.403,0.445,107.022,181060
163,2xBuDFGbFc3NbUzCI8W4RW,0.734,0.73,3,-3.926,0,0.371,0.484,4.82e-05,0.116,0.537,195.894,191813
164,7fvyyfZpbl2jF30Wj5cBxN,0.599,0.317,9,-7.769,1,0.0257,0.801,0.0,0.133,0.347,98.552,171500
165,3dEI6HHilrFuNs6q1fvJ9q,0.615,0.312,11,-22.684,1,0.406,0.0372,0.00515,0.375,0.0781,61.503,46205
166,4jzz1dFGn1osftEfcKSAeV,0.233,0.876,11,-8.766,0,0.24,0.855,0.527,0.744,0.24,170.197,48520
167,6xi4KL7KDYjzz3wuvLBeOg,0.505,0.362,4,-10.586,0,0.103,0.732,0.0,0.622,0.498,133.95,104408
168,5WYzgXAzOP814ninL9deX2,0.695,0.64,3,-6.49,0,0.0331,0.00365,0.0,0.105,0.673,121.944,158584
169,7aphaNjz17A97xNyD00LBn,0.648,0.768,0,-6.071,1,0.0541,0.246,0.0,0.0768,0.244,126.897,174197
170,3UunIIJTjCNhLkJ3HXzAAx,0.477,0.427,11,-7.447,1,0.039,0.779,4.77e-06,0.298,0.365,79.241,219124
171,1v4zEkTJxtQJJCEY5e2V0z,0.373,0.305,3,-7.372,1,0.0272,0.879,0.0,0.162,0.178,73.868,161973
172,1O5HGqTyQwb0N87beG7mLC,0.569,0.189,9,-13.386,0,0.438,0.691,1e-05,0.359,0.265,145.402,101400
173,2iLwlq72aijGUvczz0BByi,0.565,0.272,4,-4.747,1,0.032,0.802,0.0,0.111,0.331,135.812,229673
174,52T4reGBKaHkDkTNt9YEGo,0.503,0.336,9,-6.977,1,0.0284,0.663,0.0,0.269,0.222,79.833,168750
175,23d8v6tU6lR77pFKsApMtF,0.529,0.711,11,-5.016,0,0.0669,0.572,0.0,0.0799,0.582,170.305,379059
176,0VqPLtmPr3UdQlQyCoGDgz,0.623,0.672,1,-6.353,0,0.0382,0.415,0.0,0.157,0.213,125.178,205166
177,7y3GyT2J7tcqZKb5ND4BAP,0.468,0.704,0,-7.122,0,0.0581,0.887,0.0,0.427,0.802,60.822,65106
178,1a3G9SNslcKsPAOuIikaxd,0.326,0.322,5,-20.192,1,0.0337,0.887,0.841,0.116,0.0651,89.657,53185
179,0LFxsB0fdwNIjfUtVpvAmq,0.854,0.704,10,-4.053,1,0.0611,0.16,0.0,0.138,0.534,100.008,161533
180,4n1WwhKzKHUX598tvU1wMu,0.835,0.772,0,-5.711,1,0.247,0.793,2.01e-05,0.515,0.683,100.034,137534
181,6lEQRzVcKHfEfceUAZy8jZ,0.632,0.709,9,-5.527,1,0.244,0.411,0.0,0.108,0.892,86.27,147947
182,6MK8jdHLIWvzURJZlmPq64,0.818,0.826,10,-5.02,0,0.0991,0.253,0.00305,0.236,0.183,93.996,220868
183,1oTkt2SICK4tsPD0b39Snn,0.827,0.843,0,-3.961,1,0.0892,0.0516,0.00209,0.267,0.709,91.001,195165
184,3AsbVi6XAEGXoKOTfhzevi,0.816,0.721,8,-4.657,1,0.0579,0.361,0.000124,0.124,0.542,95.029,165808
185,78TdaRmo17p8J6BPvA8cGt,0.495,0.521,1,-9.72,1,0.0766,0.0317,0.0,0.288,0.238,111.426,114053
186,1ltB37dxgQfYhz0JZTUdcf,0.756,0.896,7,-2.386,1,0.12,0.0434,0.0,0.518,0.87,96.026,176250
187,0qZ03ABKZsGbGhvh1zbbil,0.33,0.777,6,-6.316,1,0.0838,0.00315,0.00227,0.167,0.236,114.309,227478
188,70iFZwMfjDJBlObBLWFywd,0.797,0.808,1,-4.016,0,0.112,0.257,0.00385,0.0943,0.551,102.053,134333
189,1wnRsXo9tSvj60Vbc6C7A2,0.502,0.701,0,-6.679,0,0.405,0.448,0.0,0.329,0.974,50.369,41304
190,13CVSGLSFl4UxpDVR6u3dq,0.387,0.253,5,-8.901,1,0.0336,0.798,0.000159,0.0848,0.134,68.004,182163
191,3qPZbR73DQm1ZNrkXvuJ4B,0.581,0.839,4,-5.968,1,0.0517,0.121,1.95e-06,0.102,0.413,146.928,209614
192,2PKiEYh6qo91G59vyfAjoS,0.698,0.718,5,-6.421,0,0.142,0.197,0.0,0.327,0.585,116.677,133240
193,3FlLbxMOhAgiWCwfcsvwF8,0.623,0.658,8,-6.914,1,0.0715,0.0212,0.0,0.338,0.476,142.772,154987
194,0A6rhK1bckxbfdOm1Omjq2,0.838,0.551,8,-2.597,1,0.107,0.0838,7.11e-06,0.0863,0.46,81.991,166829
195,1QBoyx9EOFbnFQJGCyEzwz,0.536,0.423,6,-9.158,1,0.0314,0.695,0.000185,0.117,0.228,134.027,183000
196,3T9wo7kdEAOy1h5h7kh5dw,0.697,0.569,0,-4.883,1,0.0475,0.327,0.0,0.0923,0.846,177.992,216315
197,2SOhUiyKpnlshR3SFh733w,0.712,0.731,6,-6.313,0,0.0402,0.228,0.0,0.372,0.638,92.014,190800
