id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1zzwxST3MPkMWPWjf5xuG0,0.86,0.585,0,-6.371,1,0.252,0.112,0.0,0.113,0.551,125.138,144960
0VTmJ6N4TDxR3QeC5d9vXB,0.638,0.572,9,-6.771,1,0.0407,0.00118,0.0204,0.193,0.433,115.999,126265
3BcVtYeiO36EMgghZP0Yd6,0.44,0.248,3,-12.273,1,0.0318,0.815,0.0,0.579,0.233,59.935,189960
0LKa2IxSRvAwCb7ywTc4YE,0.601,0.909,4,-8.742,0,0.0707,0.0475,0.909,0.115,0.118,122.123,62840
0knbcslkZje0qdsqbd8jwj,0.8,0.877,11,-5.531,0,0.102,0.063,0.000654,0.119,0.394,122.034,158827
27Dwl7NBaPCwnbm3c6aQDJ,0.447,0.68,7,-6.099,1,0.104,0.133,0.0,0.108,0.229,123.841,153806
1I3hGl8tOb3pDEzEbYs9fa,0.62,0.591,5,-7.335,0,0.116,0.191,2.38e-05,0.3,0.465,163.014,135464
14oE0VEMMpjXZRH4RbC8lW,0.722,0.63,5,-7.397,0,0.318,0.599,1.28e-05,0.163,0.728,93.142,105161
3NpSHyit8cO6lTKqfGq7Av,0.84,0.581,0,-7.469,1,0.358,0.511,0.00388,0.086,0.594,130.059,180912
57VSdN8FQk5yaV83U7fBXU,0.847,0.805,11,-5.04,0,0.0734,0.197,0.000656,0.105,0.384,140.054,150027
74ORZ2qrQK0pDL8rzoiuyr,0.766,0.659,5,-4.203,0,0.26,0.115,0.0,0.154,0.781,177.998,197180
5CQXesQM39J0CBnY0Npp6S,0.763,0.411,5,-8.339,0,0.211,0.0594,5.35e-05,0.0912,0.461,75.029,133978
601dhwn8qc31FrSlMu5wEf,0.835,0.753,2,-4.167,0,0.0521,0.204,0.000186,0.384,0.583,105.982,143790
503M75Hh6JciFgZ4xi8XTw,0.756,0.735,7,-6.178,1,0.0668,0.692,0.0,0.0715,0.558,92.028,193125
5MlE71RdbkyVTuC0lvzWst,0.841,0.74,9,-4.347,1,0.05,0.326,1.47e-06,0.133,0.966,129.976,197077
4n1WwhKzKHUX598tvU1wMu,0.835,0.772,0,-5.711,1,0.247,0.793,2.01e-05,0.515,0.683,100.034,137534
4AIA8hN351mjpB5lXfUsJH,0.641,0.493,4,-5.75,0,0.182,0.883,0.0174,0.155,0.419,179.842,193489
3qPZbR73DQm1ZNrkXvuJ4B,0.581,0.839,4,-5.968,1,0.0517,0.121,1.95e-06,0.102,0.413,146.928,209614
6yl12bWML644ZijpPjso5p,0.66,0.76,1,-2.871,1,0.0339,0.0107,4.6e-05,0.158,0.824,127.492,221197
6Pw74Nz0wZvGQIu3ccRUeX,0.865,0.637,8,-7.744,1,0.137,0.0297,0.0,0.0777,0.536,104.033,157000
1fcOwu14PSWy2JJhpGIOoL,0.776,0.589,5,-5.993,0,0.301,0.256,8.08e-06,0.163,0.637,96.771,136082
1aLIFdfXRGwSfYNF8GIS0O,0.781,0.517,5,-9.157,0,0.209,0.482,0.0,0.154,0.729,132.959,177515
76X0sg9YMAfH6P38NMUp6O,0.799,0.552,0,-9.159,0,0.172,0.789,0.0,0.115,0.402,92.035,147391
2M3GwgWQ2Z0swHkap5gWCm,0.53,0.322,1,-10.105,0,0.0532,0.869,1.69e-05,0.355,0.608,85.757,75415
4OVHxReloGwGriqVFF2M79,0.794,0.756,9,-2.4,1,0.0641,0.327,0.0,0.334,0.568,99.977,166740
3bDRMfygdJbTDbsdmzc1PP,0.527,0.562,9,-6.623,0,0.0331,0.153,0.0,0.232,0.188,119.861,121053
1gYipuSzUpI6BENbGrgeid,0.654,0.696,9,-7.902,0,0.134,0.282,1.07e-05,0.0575,0.274,120.106,202160
2n7ZgAFCI2F9MtKBq60Ss4,0.661,0.832,1,-5.386,0,0.0979,0.314,8.83e-06,0.319,0.416,96.143,169920
7tCgjcpSOw4Ul4VbXatzFL,0.832,0.645,1,-6.502,1,0.349,0.11,1.05e-05,0.148,0.874,84.038,169787
2QWV6LlwgXF0ZIcg4VxkUh,0.871,0.739,1,-4.891,1,0.135,0.00984,1.03e-06,0.183,0.928,127.029,130098
5XUWO8VqwE4PEkLYAtt7h7,0.543,0.6,7,-7.185,0,0.0783,0.0893,6.73e-05,0.186,0.527,89.915,155862
5XJWvtPzYIST3qfMiiFsQZ,0.728,0.711,8,-6.498,1,0.242,0.161,3.05e-06,0.137,0.422,101.198,130571
2lQl5Zgvqgqoa2EzwbIpVM,0.433,0.971,8,-3.988,1,0.0936,0.0722,0.851,0.298,0.962,199.829,92406
6iKFebFmd3r98aV2QOS9RG,0.533,0.596,2,-6.185,1,0.0474,0.336,0.0,0.126,0.313,125.937,145000
03ZfKUIydhz85Dof18k7nI,0.468,0.962,10,-3.25,1,0.331,0.134,0.0,0.174,0.766,78.758,195760
1a3G9SNslcKsPAOuIikaxd,0.326,0.322,5,-20.192,1,0.0337,0.887,0.841,0.116,0.0651,89.657,53185
65OR4ywy8Cgs3FDHK82Idl,0.507,0.832,10,-5.931,1,0.0425,0.00643,1.6e-05,0.229,0.485,177.894,206682
4FVeSfpioYQWpHA3OpZZUa,0.578,0.514,2,-7.056,1,0.0289,0.605,0.00134,0.178,0.455,122.822,212250
52oOkYn1cHfnOnM4WNefy0,0.329,0.0449,3,-27.755,1,0.0683,0.995,0.923,0.358,0.203,174.13,31400
7y3GyT2J7tcqZKb5ND4BAP,0.468,0.704,0,-7.122,0,0.0581,0.887,0.0,0.427,0.802,60.822,65106
64Gag4P7kkhhHRRj3w9pvQ,0.619,0.808,1,-4.965,1,0.284,0.448,0.0,0.361,0.65,84.846,214588
76g8pPFDLpK5LxPGieP0Jo,0.678,0.708,8,-9.34,1,0.0277,0.077,0.0,0.126,0.844,119.987,202633
0nn9EQk8llG9UuQHsXu05O,0.818,0.558,2,-9.475,1,0.0386,0.358,0.0,0.11,0.274,112.027,154301
2QM5gBm9Q8VZ7UamMIMLb1,0.795,0.553,4,-8.496,0,0.244,0.527,2.84e-06,0.112,0.739,124.109,192288
3DeZc9cOc1DM8YNoJV8lAv,0.73,0.423,8,-10.953,0,0.145,0.464,0.0,0.202,0.91,100.941,143998
5V7Gy8FkCKGsVNgvaVssJi,0.638,0.66,9,-4.489,0,0.197,0.0992,0.0,0.107,0.535,169.962,160941
5el1yANyqhFWsjLWGYpcTZ,0.83,0.535,1,-5.223,1,0.282,0.152,0.0,0.181,0.591,84.053,162448
7iUtQNMRB8ZkKC4AmEuCJC,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,174230
3JqEamRw9aUvTKIhPXne9J,0.644,0.309,8,-9.493,1,0.0299,0.737,0.0,0.111,0.172,121.886,166916
